№,year,first,title,cast,location,lat,lng
144,平成23年度,き,ＮＨＫ「金とく」～タイムトラベル！東海道中膝栗毛～,江戸むらさき,法信寺,34.841638,138.190897
145,平成23年度,し,モバゲーＴＶ-ＣＭ,－,大井川鐵道　新金谷駅,34.824029,138.139015
146,平成23年度,し,モバゲーＴＶ-ＣＭ,－,家山駅,34.940029,138.077744
147,平成23年度,し,ダヴな美「静岡」篇　ダヴＴＶ-ＣＭ,－,萬露亭,34.831153,138.179224
148,平成23年度,し,ダヴな美「静岡」篇　ダヴＴＶ-ＣＭ,－,川根本町三ッ星天文台,35.068533,138.076864
149,平成23年度,し,浜松市内の住宅メーカー,－,抜里発電所,34.982926,138.084532
150,平成23年度,な,ＴＢＳドラマ「南極大陸」,木村拓哉,大井川鐵道　新金谷駅,34.824029,138.139015
151,平成23年度,な,ＴＢＳドラマ「南極大陸」,木村拓哉,千頭駅,35.107678,138.136566
152,平成23年度,な,ＴＢＳドラマ「南極大陸」,木村拓哉,青部駅,35.089485,138.115652
153,平成23年度,な,ＴＢＳドラマ「南極大陸」,木村拓哉,島田市役所金谷庁舎,34.834519,138.126809
154,平成23年度,な,ＴＢＳドラマ「南極大陸」,木村拓哉,川越し遺跡,34.831342,138.154388
155,平成23年度,な,ＴＢＳドラマ「南極大陸」,木村拓哉,大井川橋,34.836364,138.175997
156,平成23年度,な,ＴＢＳドラマ「南極大陸」,木村拓哉,高山公会堂,34.881642,138.141805
157,平成23年度,な,ＴＢＳドラマ「南極大陸」,木村拓哉,小山橋,35.141194,138.145292
158,平成23年度,み,テレビ朝日｢ミュージックステーション」,－,大井川鐵道　家山駅,34.940029,138.077744
159,平成23年度,み,テレビ朝日｢ミュージックステーション」,－,ホテルクラーネ島田,34.834789,138.174841
160,平成23年度,み,テレビ朝日｢ミュージックステーション」,－,川越し遺跡,34.831342,138.154388
161,平成23年度,み,テレビ朝日｢ミュージックステーション」,－,蓬莱橋,34.825524,138.184443
162,平成23年度,み,テレビ朝日｢ミュージックステーション」,－,青部セミナーハウス,35.089485,138.115652
163,平成23年度,し,史上最大の挑戦！世界最強マジック終結スペシャル,－,大井川鐵道,34.82546,138.137188
164,平成23年度,し,史上最大の挑戦！世界最強マジック終結スペシャル,－,島田市博物館分館,34.832189,138.15665
165,平成23年度,き,TBS「教科書にのせたい！」,遠藤秀樹（東京大学）、ふかわりょう,島田商工会議所,34.831445,138.173441
